date,open,high,low,close,volume
09/06/2014,566.75,572,565.22,570.73,1529700
10/06/2014,568.78,572,566.13,568.3,1483800
11/06/2014,565.92,568.97,563.68,567.5,1129000
12/06/2014,567,567,557.15,559.5,1546500
13/06/2014,560.08,560.65,553.72,560.35,1353300
16/06/2014,557.25,557.99,550,552.3,1938500
17/06/2014,552.36,553.74,547.47,550.615,1477600
18/06/2014,552.8,561.4,551.58,560.66,2060600
19/06/2014,561.15,565,556.6679,564.99,2627400
20/06/2014,566.45,566.77,559.37,566.52,3160600
23/06/2014,564.35,574.44,563.5,574.29,1722800
24/06/2014,574.22,582.25,569.16,572.54,2844300
25/06/2014,573.55,587.3,573.26,585.93,2114700
26/06/2014,589.3,589.6,579.6,584.77,2002300
27/06/2014,585.45,587.88,582.62,585.69,2021300
30/06/2014,586.76,587.71,583.29,584.67,1478900
01/07/2014,587.65,593.66,586.29,591.49,1643200
02/07/2014,592.26,594.15,589.11,590.78,1195800
03/07/2014,591.7,594.25,589,593.08,898900
07/07/2014,593.51,595.645,587.94,590.76,1336700
08/07/2014,586.365,587.97,574,578.4,2125200
09/07/2014,578.95,584.1,577,583.36,1372800
10/07/2014,573,585.25,572.1001,580.04,1436200
11/07/2014,581,588.23,580.575,586.65,1511600
14/07/2014,590.6,594.86,586.693,594.26,1951600
15/07/2014,595.15,595.2999,585.31,593.06,1673800
16/07/2014,596.89,597,590.25,590.62,1440800
17/07/2014,588.97,589.5,576.85,580.82,2935300
18/07/2014,603.01,606.7,590.92,605.11,4871600
21/07/2014,601.35,604.16,594.45,598.44,2237900
22/07/2014,599.7,608.89,599.2576,603.57,1881600
23/07/2014,602.05,607.05,601.35,605.19,1106000
24/07/2014,605.53,608.91,601,603.01,1355000
25/07/2014,599.25,601,595.75,598.08,1360000
28/07/2014,597.75,601.098,592.59,599.02,1358100
29/07/2014,597.7,598.49,592.17,593.95,1366600
30/07/2014,595.81,598.45,592.7,595.44,1215100
31/07/2014,588.96,591.9899,577.68,579.55,2309500
01/08/2014,578.555,583.43,570.3,573.6,2213300
04/08/2014,576.51,583.82,572.26,582.27,1519400
05/08/2014,579.38,580.2,570.31,573.14,1643800
06/08/2014,569.5,578.644,567.45,574.49,1322800
07/08/2014,576.05,578.31,569.43,571.81,1163000
08/08/2014,572.02,579.5639,569.02,577.94,1493300
11/08/2014,579,579.69,575.298,577.25,1171300
12/08/2014,575,575.9,569.91,572.12,1394500
13/08/2014,576.45,586.125,575.2,584.56,1899400
14/08/2014,586.69,587.8,580.92,584.65,1272900
15/08/2014,587.5,589.47,580.76,583.71,1723400
18/08/2014,587.1,595.05,586.55,592.7,1466000
19/08/2014,595.59,597.81,594.44,597.11,1043200
20/08/2014,596.95,596.99,593.001,595.41,967300
21/08/2014,594.9,595.25,591.101,592.42,1132000
22/08/2014,593.27,594.99,589.8,592.54,877200
25/08/2014,594.77,595.58,589.26,590.57,1295600
26/08/2014,592,592.05,587.45,588.12,1471700
27/08/2014,587.81,589.37,580.9,583,1364600
28/08/2014,580.02,584.71,577.88,580.32,1405800
29/08/2014,582.35,582.8999,578.24,582.36,1206100
02/09/2014,582.95,589.3,582.4,588.63,1583000
03/09/2014,591.73,594.49,586.5,589.52,1579000
04/09/2014,592.13,598,590.6,593.14,1630800
05/09/2014,595.13,598.5,593.55,597.78,1799100
08/09/2014,599.14,603.52,598.0231,601.63,1599200
09/09/2014,600.27,600.6,590.48,591.97,1571200
10/09/2014,591.74,593.72,587.14,593.42,1160100
11/09/2014,590,591.945,586.04,591.11,1501400
12/09/2014,590.39,591.48,583.28,584.9,1851500
15/09/2014,582.24,583.92,577.01,581.64,1545400
16/09/2014,580.95,590.15,580.95,588.78,1579600
17/09/2014,589.51,596.07,587.12,593.29,1719500
18/09/2014,595.05,597.56,593.02,597.27,1494500
19/09/2014,599.49,605.4,597.76,605.4,4191600
22/09/2014,602.5,603.8,593.12,597.27,1785101
23/09/2014,595,596.65,590.24,591.18,1398949
24/09/2014,591.57,600.11,590.3,598.42,1754676
25/09/2014,596.99,598.07,584.74,585.25,1663317
26/09/2014,585.93,589.5739,585,587.9,1289090
29/09/2014,581.83,589.31,581.57,587.81,1144982
30/09/2014,587.49,591,584.5,588.41,1571688
01/10/2014,586.8,588.72,578.02,579.63,1449686
02/10/2014,578,583.24,574.05,580.88,1536935
03/10/2014,584.1,588.29,583.5,586.25,1214593
06/10/2014,589.95,592.4,585.4,587.78,1286130
07/10/2014,584.9,585.85,574.1,574.1,1546228
08/10/2014,574.79,584.69,567.64,583.74,2210360
09/10/2014,581.61,582.53,569.03,570.81,2413453
10/10/2014,567.47,575.23,555.01,555.19,2979673
13/10/2014,555.13,560.875,544.43,544.75,2756508
14/10/2014,550.14,558.63,544.5,548.69,2610033
15/10/2014,542.08,543.915,528.422,540.73,3836222
16/10/2014,527,540.99,524.95,536.92,3805046
17/10/2014,540.45,543.45,518.41,522.97,5998740
20/10/2014,520.45,533.16,519.14,532.38,2749830
21/10/2014,537.27,538.77,530.2,538.03,2460140
22/10/2014,541.05,550.76,540.23,542.69,2974550
23/10/2014,548.28,557.4,545.5,553.65,2153678
24/10/2014,554.98,555,545.16,548.9,2175767
27/10/2014,547.76,554,547.2,549.88,1598409
28/10/2014,551.71,559.2,550.43,558.94,1739666
29/10/2014,560.85,564.97,555.98,558.45,2053355
30/10/2014,558.25,562.5,552.13,560.27,1612469
31/10/2014,568.3,568.73,564.81,567.87,2341539
03/11/2014,563.53,567.15,561.63,563.77,1544338
04/11/2014,561.16,564.79,558.3,564.19,1386509
05/11/2014,566.79,566.9,554.15,555.95,1645264
06/11/2014,555.5,556.799,550.58,551.69,1650721
07/11/2014,555.6,555.6,549.35,551.82,1589131
10/11/2014,552.4,560.63,551.62,558.23,1304481
11/11/2014,558.52,562.5,556.2419,561.29,1100179
12/11/2014,561.15,561.25,555.5,558.25,1094114
13/11/2014,560.81,560.8199,554.09,556.44,1510989
14/11/2014,558,558,552.51,555.19,1425060
17/11/2014,555.19,555.19,544.44,546.64,1680621
18/11/2014,547.93,552.79,543.8,544.51,1822166
19/11/2014,544.75,548.22,539.19,547.2,1517286
20/11/2014,542.09,545.38,541.5,543.76,1750758
21/11/2014,551.04,551.04,545,545.89,2505988
24/11/2014,546.57,551.19,544.15,547.48,1653773
25/11/2014,547.21,552.5,546.91,549.23,1903589
26/11/2014,549.23,549.88,545.23,547.73,1480294
28/11/2014,547,549.6,544.4801,549.08,1210061
01/12/2014,545.09,548.79,538.62,539.65,1994399
02/12/2014,539.45,541.85,534.657,538.59,2073974
03/12/2014,537.5,541.405,535.21,536.97,1623977
04/12/2014,537.64,542.69,534.89,542.58,1633688
05/12/2014,536.7,538.2,527.26,528.08,3070118
08/12/2014,529.22,533.815,527,530.73,3231818
09/12/2014,525.875,536.65,523.41,536.11,2168813
10/12/2014,535.9,539.36,527.49,528.04,2316204
11/12/2014,530.01,537.04,529.16,532.11,2073290
12/12/2014,527.44,532.24,521.46,521.51,2371543
15/12/2014,523.76,525.37,515.397,515.84,2621977
16/12/2014,513.6,515.58,497.19,498.16,4349882
17/12/2014,499.86,509.07,499.11,506.45,3639437
18/12/2014,515.99,516.25,506.56,514.62,3876732
19/12/2014,516.99,520.81,508.86,520.04,4872059
22/12/2014,520.61,532.97,520.59,532.3,3319461
23/12/2014,534.51,542.3,533.72,538.77,2877222
24/12/2014,538.82,540.29,535.1,536.93,737848
26/12/2014,536.93,543.25,535.49,541.52,1113464
29/12/2014,540.5,543.93,537.16,537.31,2218632
30/12/2014,534.96,537.84,533.61,535.28,1048631
31/12/2014,537.74,538.4,530.2,530.66,1236445
02/01/2015,532.6,535.8,527.88,529.55,1327870
05/01/2015,527.15,527.9899,517.75,519.46,2059119
06/01/2015,520.5,521.21,505.55,506.64,2731813
07/01/2015,510.95,511.49,503.65,505.15,2345875
08/01/2015,501.51,507.5,495.02,506.91,3662224
09/01/2015,508.18,508.6,498.65,500.72,2065403
12/01/2015,499.24,500.28,490.91,497.06,2856938
13/01/2015,502.57,508.6,497.26,501.8,3050295
14/01/2015,500.42,508.26,498.16,505.93,2639959
15/01/2015,508.89,509.75,502.01,504.01,2556682
16/01/2015,503.15,510.85,503.09,510.455,2482858
20/01/2015,512.77,515.61,509.37,509.94,2343612
21/01/2015,510.84,521.851,509.59,520.39,2317789
22/01/2015,523,538.84,521.91,537.3,2803401
23/01/2015,538.03,545.41,535.7508,541.95,2298290
26/01/2015,541.5,541.5,532.07,536.72,1546563
27/01/2015,531.4,532.78,520.8612,521.19,1957440
28/01/2015,525,525.69,512.35,512.43,1791077
29/01/2015,512.9,515.19,503.48,513.23,3950857
30/01/2015,519,543.1,518.18,537.55,6055445
02/02/2015,534.32,536.5,521.72,532.2,3768861
03/02/2015,529.94,537.45,526.81,533.3,2353096
04/02/2015,533.14,536.746,525.03,526.1,1694832
05/02/2015,527.93,530.69,525.64,529.83,1658751
06/02/2015,531.01,540.215,528.65,533.875,2146922
09/02/2015,531.06,533.88,527.55,529.28,1515687
10/02/2015,532.15,541,529.1725,540.16,2371468
11/02/2015,539.73,541.95,536,538,1915336
12/02/2015,539.66,548.34,537,546.01,2429520
13/02/2015,547.51,552.54,546.6,551.16,2369115
17/02/2015,551.16,553,543.26,545.01,1958679
18/02/2015,543.82,547.55,539.55,542.65,1558153
19/02/2015,542.47,546.86,540.75,546.45,1541669
20/02/2015,547.58,547.58,538.1,541.8,1911732
23/02/2015,539,539.3,532,535,1645276
24/02/2015,531.55,539.4,531,538.65,1421373
25/02/2015,538.44,549.57,538.01,547.33,2041827
